"Add Slide","Add Slide"
"Add Slider","Add Slider"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Associated Slides","Associated Slides"
"Compose Slider","Compose Slider"
"Delete Slide","Delete Slide"
"Delete Slider","Delete Slider"
"Edit Slide «%s»","Edit Slide «%s»"
"Edit Slider «%s»","Edit Slider «%s»"
"Manage Slides","Manage Slides"
"New Slide","New Slide"
"Save Slide","Save Slide"
"Save Slider","Save Slider"
"Slide does not exist","Slide does not exist"
"Slide Information","Slide Information"
"Slide was not saved","Slide was not saved"
"Slide was successfully deleted","Slide was successfully deleted"
"Slide was successfully saved","Slide was successfully saved"
"Slider Information","Slider Information"
"Slider Manager","Slider Manager"
"Slider Settings","Slider Settings"
"Slides Statistics","Slides Statistics"
"Title","Title"
"To make Slider Manager work, please, enable it!","To make Slider Manager work, please, enable it!"
"Slider does not exist","Slider does not exist"
"Associated Slides","Associated Slides"
"Slider Settings","Slider Settings"
"Slider was successfully saved","Slider was successfully saved"
